sentence_text,audio_file_name
我 的 朋友 是 老师。,Friend_is_teacher.mp3
他 常常 看 美国 电影。,He_watches_movies.mp3
你 的 孩子 几 岁 了？,Your_child_age.mp3
这 个 星期 我们 都 很 忙。,Week_all_busy.mp3
她 喜欢 吃 中国 菜 和 饭。,She_likes_Chinese_food.mp3
今天 下午 三 点 我 有事。,Afternoon_3_oclock_busy.mp3
那 两 张 照片 太 好 看 了。,Photos_very_goodlooking.mp3
医生 问 他，你 叫 什么 名字？,Doctor_asks_name.mp3
我 认识 一 个 大学生，他 也 学 英文。,Know_student_studies_English.mp3
爸爸 妈妈 都 不 在 家，孩子 呢？,Parents_not_home_child.mp3
明年 我们 还 是 朋友，好 吗？,Next_year_still_friends.mp3
工作 很 忙，可是 我 喜欢 我 的 工作。,Work_busy_like_work.mp3
请 问，现在 几 点 了？上午 十 点 半。,Ask_time_now_1030AM.mp3
谁 的 书？这 是 我 弟弟 的 书。,Whose_book_brothers_book.mp3
她 的 姐姐 和 妹妹 都 是 学生。,Sisters_both_students.mp3
我 常常 在 晚上 七 点 吃 饭。,Eat_dinner_7PM_evening.mp3
有的 人 喜欢 看 电视，有的 人 喜欢 看 电影。,People_like_TV_movies.mp3
为什么 你 不 做 工作？因为 我 很 忙。,Why_not_work_because_busy.mp3
这 个 月 有 三 十 日，下 个 月 也 有 三 十 日。,Month_30_days_next_too.mp3
他 的 儿子 和 女儿 都 很 好。,Son_daughter_very_good.mp3
老师 叫 学生 看 书，学生 不 看。,Teacher_student_read_book.mp3
我 的 生日 是 五 月 六 号。,My_birthday_May_6th.mp3
那 个 先生 姓 什么？,That_Mr_surname_what.mp3
中国 和 美国 都 是 大 国。,China_America_big_countries.mp3
我 的 家 有 四 口 人：爸爸，妈妈，哥哥 和 我。,Family_four_people_members.mp3
你 认识 那 个 律师 吗？他 很 有 名。,Know_lawyer_famous.mp3
现在 是 下午 一 点 一 刻。,Now_1_15_PM.mp3
谢谢 你，再见！明天 见！,Thank_you_goodbye_tomorrow.mp3
这 书 太 好 了，我 很 喜欢。,Book_too_good_like_much.mp3
他 的 工作 怎么样？不 太 好，也 不 太 忙。,His_work_how_not_great_not_busy.mp3
